cycle,test_group,test_type,prosthesis,pair,metric,pvalue,pvalue_holm,pvalue_bonferroni,cohens_d
cycle,g1,wilcoxon,Mech,(A-A)-(S-S),angle_var,0.0009765625,0.001953125,0.005859375,-3.2996581223090824
cycle,g1,wilcoxon,Mech,(A-A)-(S-S),hangle,0.00146484375,0.0029296875,0.0087890625,-2.676374287432417
cycle,g1,wilcoxon,Mech,(A-A)-(S-S),htoe,0.00341796875,0.0048828125,0.0205078125,1.3032957863471188
cycle,g1,wilcoxon,Mech,(A-A)-(S-S),inter_dependence,0.0068359375,0.0341796875,0.041015625,1.1288718113996326
cycle,g1,wilcoxon,Mech,(A-A)-(S-S),inter_dependence_prop,0.0009765625,0.00390625,0.005859375,1.5696135212353062
cycle,g1,wilcoxon,Mech,(A-A)-(S-S),mi,0.0068359375,0.0341796875,0.041015625,1.1288718113996326
cycle,g1,wilcoxon,Mech,(A-A)-(S-S),toe_var,0.6220703125,0.6220703125,1.0,0.14297227405878782
cycle,g1,wilcoxon,Mech,(A-A)-(S-S),total_var,0.0009765625,0.00390625,0.005859375,-2.1659123200274712
cycle,g1,mannwhitneyu,Mech-none,(A-A)-(Same),angle_var,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,-7.236210173420037
cycle,g1,mannwhitneyu,Mech-none,(A-A)-(Same),hangle,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,-6.971568776127878
cycle,g1,mannwhitneyu,Mech-none,(A-A)-(Same),htoe,3.6422294243617327e-06,2.1853376546170396e-05,2.1853376546170396e-05,3.5238199418440765
cycle,g1,mannwhitneyu,Mech-none,(A-A)-(Same),inter_dependence,0.0003361351795765486,0.002016811077459292,0.002016811077459292,2.098355793039468
cycle,g1,mannwhitneyu,Mech-none,(A-A)-(Same),inter_dependence_prop,9.226991745831666e-05,0.0005536195047499,0.0005536195047499,2.6780559686761243
cycle,g1,mannwhitneyu,Mech-none,(A-A)-(Same),mi,0.0003361351795765486,0.002016811077459292,0.002016811077459292,2.098355793039468
cycle,g1,mannwhitneyu,Mech-none,(A-A)-(Same),toe_var,0.0014260860151498996,0.005704344060599598,0.008556516090899398,1.3554985959578696
cycle,g1,mannwhitneyu,Mech-none,(A-A)-(Same),total_var,3.0584343043925483e-06,1.5390009636627867e-05,1.8350605826355288e-05,-3.9115895077621374
cycle,g1,mannwhitneyu,Mech-none,(A-S)-(Contra),angle_var,4.332038711823107e-06,1.732815484729243e-05,2.5992232270938646e-05,-2.575729528775931
cycle,g1,mannwhitneyu,Mech-none,(A-S)-(Contra),hangle,9.226991745831666e-05,0.0003690796698332666,0.0005536195047499,-1.7487746760927363
cycle,g1,mannwhitneyu,Mech-none,(A-S)-(Contra),htoe,3.6422294243617327e-06,2.1853376546170396e-05,2.1853376546170396e-05,3.5159727834221726
cycle,g1,mannwhitneyu,Mech-none,(A-S)-(Contra),inter_dependence,0.28773379040683134,0.5754675808136627,1.0,0.5621432310792953
cycle,g1,mannwhitneyu,Mech-none,(A-S)-(Contra),inter_dependence_prop,0.27170538929721544,0.27170538929721544,1.0,0.5548604906109628
cycle,g1,mannwhitneyu,Mech-none,(A-S)-(Contra),mi,0.28773379040683134,0.5754675808136627,1.0,0.5621432310792953
cycle,g1,mannwhitneyu,Mech-none,(A-S)-(Contra),toe_var,0.00010704974714847481,0.0006422984828908489,0.0006422984828908489,1.958086163629532
cycle,g1,mannwhitneyu,Mech-none,(A-S)-(Contra),total_var,0.28773379040683134,0.37677204208861403,1.0,0.001879945790321208
cycle,g1,wilcoxon,Mech,(A-S)-(S-A),angle_var,0.0009765625,0.001953125,0.005859375,2.759968235710086
cycle,g1,wilcoxon,Mech,(A-S)-(S-A),hangle,0.00146484375,0.0029296875,0.0087890625,2.5551252049934687
cycle,g1,wilcoxon,Mech,(A-S)-(S-A),htoe,0.00244140625,0.0048828125,0.0146484375,1.3360679349424565
cycle,g1,wilcoxon,Mech,(A-S)-(S-A),inter_dependence,0.4697265625,0.5754675808136627,1.0,-0.35859930773105736
cycle,g1,wilcoxon,Mech,(A-S)-(S-A),inter_dependence_prop,0.02685546875,0.08056640625,0.1611328125,-1.0587260710426918
cycle,g1,wilcoxon,Mech,(A-S)-(S-A),mi,0.4697265625,0.5754675808136627,1.0,-0.35859930773105736
